citylat,citylon,focal,idiss,linkData,link_big,link_small,n_answers
50.7,-13.2,50,26275,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS022&roll=E&frame=26275,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS022/ISS022-E-26275.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS022/ISS022-E-26275.JPG,30
25.9,-101.4,50,271277,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=271277,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-271277.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-271277.JPG,
46.9,16.2,50,44386,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=44386,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-44386.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-44386.JPG,
24.8,32.1,50,66552,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=66552,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-66552.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-66552.JPG,30
25.4,50.1,50,21082,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS035&roll=E&frame=21082,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS035/ISS035-E-21082.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS035/ISS035-E-21082.JPG,30
47.4,-75.1,50,77306,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=77306,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-77306.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-77306.JPG,30
49.3,-112.1,50,223010,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=223010,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-223010.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-223010.JPG,
40,10.2,50,83451,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=83451,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-83451.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-83451.JPG,30
30.9,-95.5,50,83126,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=83126,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-83126.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-83126.JPG,30
46.3,-1.1,50,16194,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS038&roll=E&frame=16194,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS038/ISS038-E-16194.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS038/ISS038-E-16194.JPG,30
44.9,-118.3,50,16497,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS038&roll=E&frame=16497,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS038/ISS038-E-16497.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS038/ISS038-E-16497.JPG,30
36.9,-96.2,50,9599,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS035&roll=E&frame=9599,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS035/ISS035-E-9599.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS035/ISS035-E-9599.JPG,30
42,14.7,50,83399,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=83399,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-83399.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-83399.JPG,30
21.7,-75.8,50,82343,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=82343,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-82343.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-82343.JPG,30
-4.6,109.6,50,33611,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS036&roll=E&frame=33611,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS036/ISS036-E-33611.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS036/ISS036-E-33611.JPG,30
