City,ISS-ID,lat,lon,latcity,loncity,nlat,nlon,MODEL,date,hour,alt,sunazt,sunelv,shu,ap,ISO,Coments,NASA,CoordFLAG,URL,small,large,Thumbnail
PAN,ISS016-E-16219,42.0,12.5,0.0,0.0,39.1,10.3,NIKON D2Xs,20071212,204524,180.0,286.0,-55.0,1/20,F1.4,HI-1,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS016&roll=E&frame=16219,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS016/ISS016-E-16219.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS016/ISS016-E-16219.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS016/ISS016-E-16219.jpg
SARATOV,ISS026-E-26536,51.5,46.1,0.0,0.0,51.4,51.0,NIKON D3S S/N: 2007934,20110211,232126,187.0,53.0,-42.0,1/15,4.0,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26536,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26536.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-26536.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-26536.jpg
BUCHAREST,ISS026-E-26465,44.4,26.2,0.0,0.0,46.2,31.1,NIKON D3S S/N: 2007934,20110211,214222,187.0,348.0,-57.0,1/15,4.0,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26465,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26465.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-26465.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-26465.jpg
TIRANE,ISS026-E-28857,41.3,19.7,0.0,0.0,40.8,21.2,NIKON D3S S/N: 2007934,20110222,232045,188.0,15.0,-59.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28857,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28857.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-28857.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-28857.jpg
Paris,ISS026-E-27167,48.2,11.5,0.0,0.0,48.2,11.5,NIKON D3S S/N: 2007934,20110215,214957,187.0,322.0,-49.0,1/15,2.8,12800,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=27167,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-27167.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-27167.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-27167.jpg
ZARAGOZA,ISS026-E-26497,41.7,-0.8,0.0,0.0,43.6,1.8,NIKON D3S S/N: 2007934,20110211,231233,187.0,334.0,-58.0,1/15,4.0,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26497,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26497.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-26497.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-26497.jpg
KIEV,ISS022-E-85416,50.4,30.6,0.0,0.0,51.1,29.1,NIKON D2Xs S/N: 6027254,20100308,193411,183.0,310.0,-33.0,1/60,1.4,800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS022&roll=E&frame=85416,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS022/ISS022-E-85416.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS022/ISS022-E-85416.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS022/ISS022-E-85416.jpg
TEL,ISS026-E-28912,32.0,34.8,0.0,0.0,30.7,35.0,NIKON D3S S/N: 2007934,20110222,232444,189.0,51.0,-60.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28912,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28912.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-28912.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-28912.jpg
LYON,ISS026-E-26512,45.8,4.9,0.0,0.0,46.1,7.8,NIKON D3S S/N: 2007934,20110211,231351,187.0,347.0,-57.0,1/15,4.0,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26512,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26512.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-26512.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-26512.jpg
SOFIA,ISS026-E-26450,42.7,23.4,0.0,0.0,44.1,26.2,NIKON D3S S/N: 2007934,20110211,214118,187.0,337.0,-58.0,1/15,4.0,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26450,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26450.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-26450.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-26450.jpg
